"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"52F1","NS-IBTS","27.4.a",1,2016,9,5,1.8,1.5,61.75,"POLYGON ((0.999999999900126 61.5000000003998,0.999999999900126 62.0000000002998,1.99999999970026 62.0000000002998,1.99999999970026 61.5000000003998,0.999999999900126 61.5000000003998))"
"31F1","NS-IBTS","27.4.c",1,2017,10,6,1.66666666666667,1.5,51.25,"POLYGON ((0.999999999900126 50.9999999998002,0.999999999900126 51.4999999997003,1.99999999970026 51.4999999997003,1.99999999970026 50.9999999998002,0.999999999900126 50.9999999998002))"
"31F2","NS-IBTS","27.4.c",1,2017,12,9,1.33333333333333,2.5,51.25,"POLYGON ((1.99999999970026 50.9999999998002,1.99999999970026 51.4999999997003,3.00000000039972 51.4999999997003,3.00000000039972 50.9999999998002,1.99999999970026 50.9999999998002))"
"32F1","NS-IBTS","27.4.c",1,2017,22,8,2.75,1.5,51.75,"POLYGON ((0.999999999900126 51.4999999997003,0.999999999900126 51.9999999996003,1.99999999970026 51.9999999996003,1.99999999970026 51.4999999997003,0.999999999900126 51.4999999997003))"
"32F2","NS-IBTS","27.4.c",1,2017,16,9,1.77777777777778,2.5,51.75,"POLYGON ((1.99999999970026 51.4999999997003,1.99999999970026 51.9999999996003,3.00000000039972 51.9999999996003,3.00000000039972 51.4999999997003,1.99999999970026 51.4999999997003))"
"32F3","NS-IBTS","27.4.c",1,2017,6,8,0.75,3.5,51.75,"POLYGON ((3.00000000039972 51.4999999997003,3.00000000039972 51.9999999996003,4.00000000019992 51.9999999996003,4.00000000019992 51.4999999997003,3.00000000039972 51.4999999997003))"
"33F1","NS-IBTS","27.4.c",1,2017,9,5,1.8,1.5,52.25,"POLYGON ((0.999999999900126 51.9999999996003,0.999999999900126 52.5000000003998,1.99999999970026 52.5000000003998,1.99999999970026 51.9999999996003,0.999999999900126 51.9999999996003))"
"33F2","NS-IBTS","27.4.c",1,2017,17,6,2.83333333333333,2.5,52.25,"POLYGON ((1.99999999970026 51.9999999996003,1.99999999970026 52.5000000003998,3.00000000039972 52.5000000003998,3.00000000039972 51.9999999996003,1.99999999970026 51.9999999996003))"
"33F3","NS-IBTS","27.4.c",1,2017,9,4,2.25,3.5,52.25,"POLYGON ((3.00000000039972 51.9999999996003,3.00000000039972 52.5000000003998,4.00000000019992 52.5000000003998,4.00000000019992 51.9999999996003,3.00000000039972 51.9999999996003))"
"33F4","NS-IBTS","27.4.c",1,2017,9,9,1,4.5,52.25,"POLYGON ((4.00000000019992 51.9999999996003,4.00000000019992 52.5000000003998,5.00000000000006 52.5000000003998,5.00000000000006 51.9999999996003,4.00000000019992 51.9999999996003))"
"34F1","NS-IBTS","27.4.c",1,2017,6,8,0.75,1.5,52.75,"POLYGON ((0.999999999900126 52.5000000003998,0.999999999900126 53.0000000002998,1.99999999970026 53.0000000002998,1.99999999970026 52.5000000003998,0.999999999900126 52.5000000003998))"
"34F2","NS-IBTS","27.4.c",1,2017,14,5,2.8,2.5,52.75,"POLYGON ((1.99999999970026 52.5000000003998,1.99999999970026 53.0000000002998,3.00000000039972 53.0000000002998,3.00000000039972 52.5000000003998,1.99999999970026 52.5000000003998))"
"34F3","NS-IBTS","27.4.c",1,2017,11,6,1.83333333333333,3.5,52.75,"POLYGON ((3.00000000039972 52.5000000003998,3.00000000039972 53.0000000002998,4.00000000019992 53.0000000002998,4.00000000019992 52.5000000003998,3.00000000039972 52.5000000003998))"
"34F4","NS-IBTS","27.4.c",1,2017,7,5,1.4,4.5,52.75,"POLYGON ((4.00000000019992 52.5000000003998,4.00000000019992 53.0000000002998,5.00000000000006 53.0000000002998,5.00000000000006 52.5000000003998,4.00000000019992 52.5000000003998))"
