"Year","ratio","sst","sst1","sst2","F_CODE"
2011,0.888888888888889,0.702179362221311,0.120408637371535,1.11357311005122,"27.3.b, c"
2012,0.588235294117647,0.742851707851514,0.702179362221311,0.120408637371535,"27.3.b, c"
2013,0.666666666666667,0.557620404753834,0.742851707851514,0.702179362221311,"27.3.b, c"
2014,0.95,2.20304004335776,0.557620404753834,0.742851707851514,"27.3.b, c"
2015,0.846153846153846,1.31438193997989,2.20304004335776,0.557620404753834,"27.3.b, c"
2016,0.875,1.73775940450529,1.31438193997989,2.20304004335776,"27.3.b, c"
2017,0.85,1.36551306893428,1.73775940450529,1.31438193997989,"27.3.b, c"
2018,0.789473684210526,1.5885609217609,1.36551306893428,1.73775940450529,"27.3.b, c"
2019,0.8,1.69880829441051,1.5885609217609,1.36551306893428,"27.3.b, c"
2020,0.714285714285714,2.18871092051268,1.69880829441051,1.5885609217609,"27.3.b, c"
1999,1,1.2057399371018,0.344550748666128,0.788719500104586,"27.3.d"
2000,0.5,1.27589158713818,1.2057399371018,0.344550748666128,"27.3.d"
2001,0.363636363636364,1.17061102266113,1.27589158713818,1.2057399371018,"27.3.d"
2002,0.555555555555556,1.33577534804742,1.17061102266113,1.27589158713818,"27.3.d"
2003,0.384615384615385,0.647992107396325,1.33577534804742,1.17061102266113,"27.3.d"
2004,0.7,0.788467934044699,0.647992107396325,1.33577534804742,"27.3.d"
2005,0.416666666666667,1.31380107502143,0.788467934044699,0.647992107396325,"27.3.d"
2006,0.333333333333333,1.5336110573262,1.31380107502143,0.788467934044699,"27.3.d"
2007,1,1.39307532583674,1.5336110573262,1.31380107502143,"27.3.d"
2008,0.7,1.79570295910041,1.39307532583674,1.5336110573262,"27.3.d"
