"Year","Survey","Quarter","F_CODE","sst","sst1","sst2","Atlantic","Boreal","Lusitanian","Unknown","ratio"
1996,"NS-IBTS",1,"4.a",-0.0629194134225448,0.184389228994648,0.115380687763294,5,27,27,7,1
1996,"NS-IBTS",1,"4.b",-0.353067761752754,0.757892796148856,0.363114957076808,3,33,32,9,0.96969696969697
1996,"NS-IBTS",1,"4.c",-0.185061360088487,1.33043770492077,0.794129027674595,1,15,23,8,1.53333333333333
1996,"SWC-IBTS",1,"6.a",0.174842905874054,0.410204002012809,-0.143373418599367,4,26,34,3,1.30769230769231
1997,"EVHOE",4,"7.g",0.791476147249341,0.370686653535813,0.816545528359711,4,15,28,2,1.86666666666667
1997,"EVHOE",4,"7.h",0.777012716978788,0.387896141037345,0.749590302507083,3,12,25,2,2.08333333333333
1997,"EVHOE",4,"7.j",0.781992917569975,0.35706271683254,0.779692696795488,4,14,29,3,2.07142857142857
1997,"EVHOE",4,"8.a",0.741299504414201,0.286036745334665,0.77020954589049,5,13,49,7,3.76923076923077
1997,"EVHOE",4,"8.b",0.878371939994395,0.330468780050675,0.740334436918298,4,1,51,12,51
1997,"EVHOE",4,"8.d",0.777012716978788,0.387896141037345,0.749590302507083,4,4,24,5,6
1997,"FR-CGFS",4,"7.d",0.7132196930858,0.0016543179905663,0.995507111152013,2,7,33,3,4.71428571428571
1997,"NS-IBTS",1,"3.a",0.754065929291149,-0.498815612867475,0.792463705564539,7,30,21,2,0.7
1997,"NS-IBTS",1,"4.a",0.41681142039597,-0.0629194134225448,0.184389228994648,5,26,29,4,1.11538461538462
1997,"NS-IBTS",1,"4.b",0.834374927294751,-0.353067761752754,0.757892796148856,5,29,33,10,1.13793103448276
1997,"NS-IBTS",1,"4.c",0.812094607700904,-0.185061360088487,1.33043770492077,2,19,24,5,1.26315789473684
1997,"SWC-IBTS",1,"6.a",0.768442651877801,0.174842905874054,0.410204002012809,4,23,35,4,1.52173913043478
1998,"EVHOE",4,"7.g",0.680119682724277,0.791476147249341,0.370686653535813,2,17,34,3,2
1998,"EVHOE",4,"7.h",0.69071777847906,0.777012716978788,0.387896141037345,6,9,30,2,3.33333333333333
1998,"EVHOE",4,"7.j",0.627275731724997,0.781992917569975,0.35706271683254,5,13,28,5,2.15384615384615
1998,"EVHOE",4,"8.a",0.727463243529201,0.741299504414201,0.286036745334665,3,12,48,8,4
1998,"EVHOE",4,"8.b",0.840400259010494,0.878371939994395,0.330468780050675,3,3,50,13,16.6666666666667
1998,"EVHOE",4,"8.d",0.69071777847906,0.777012716978788,0.387896141037345,3,1,18,4,18
