"Survey","Quarter","Year","StatRec","F_CODE","Lat","Lon","WKT","Boreal","Lusitanian","Unknown","Atlantic","ratio"
"NS-IBTS",1,1972,"37F4","4.b",4.5,54.25,"POLYGON ((4.00000000019992 54.0000000001,4.00000000019992 54.5000000000001,5.00000000000006 54.5000000000001,5.00000000000006 54.0000000001,4.00000000019992 54.0000000001))",4,2,0,0,0.5
"NS-IBTS",1,1972,"38F0","4.b",0.5,54.75,"POLYGON ((0.000000000099988 54.5000000000001,0.000000000099988 54.9999999999001,0.999999999900126 54.9999999999001,0.999999999900126 54.5000000000001,0.000000000099988 54.5000000000001))",8,4,2,1,0.5
"NS-IBTS",1,1972,"38F1","4.b",1.5,54.75,"POLYGON ((0.999999999900126 54.5000000000001,0.999999999900126 54.9999999999001,1.99999999970026 54.9999999999001,1.99999999970026 54.5000000000001,0.999999999900126 54.5000000000001))",4,2,0,0,0.5
"NS-IBTS",1,1972,"38F2","4.b",2.5,54.75,"POLYGON ((1.99999999970026 54.5000000000001,1.99999999970026 54.9999999999001,3.00000000039972 54.9999999999001,3.00000000039972 54.5000000000001,1.99999999970026 54.5000000000001))",6,3,0,0,0.5
"NS-IBTS",1,1972,"38F3","4.b",3.5,54.75,"POLYGON ((3.00000000039972 54.5000000000001,3.00000000039972 54.9999999999001,4.00000000019992 54.9999999999001,4.00000000019992 54.5000000000001,3.00000000039972 54.5000000000001))",5,4,0,0,0.8
"NS-IBTS",1,1972,"38F4","4.b",4.5,54.75,"POLYGON ((4.00000000019992 54.5000000000001,4.00000000019992 54.9999999999001,5.00000000000006 54.9999999999001,5.00000000000006 54.5000000000001,4.00000000019992 54.5000000000001))",4,2,0,0,0.5
"NS-IBTS",1,1972,"39E8","4.b",-1.5,55.25,"POLYGON ((-2.00000000039967 54.9999999999001,-2.00000000039967 55.4999999998002,-0.999999999700151 55.4999999998002,-0.999999999700151 54.9999999999001,-2.00000000039967 54.9999999999001))",10,2,0,0,0.2
"NS-IBTS",1,1972,"40E8","4.b",-1.5,55.75,"POLYGON ((-2.00000000039967 55.4999999998002,-2.00000000039967 55.9999999997003,-0.999999999700151 55.9999999997003,-0.999999999700151 55.4999999998002,-2.00000000039967 55.4999999998002))",9,2,0,0,0.222222222222222
"NS-IBTS",1,1972,"41E7","4.b",-2.5,56.25,"POLYGON ((-3.0000000001998 55.9999999997003,-3.0000000001998 56.4999999996003,-2.00000000039967 56.4999999996003,-2.00000000039967 55.9999999997003,-3.0000000001998 55.9999999997003))",10,4,0,0,0.4
"NS-IBTS",1,1972,"41F4","4.b",4.5,56.25,"POLYGON ((4.00000000019992 55.9999999997003,4.00000000019992 56.4999999996003,5.00000000000006 56.4999999996003,5.00000000000006 55.9999999997003,4.00000000019992 55.9999999997003))",9,3,0,1,0.333333333333333
"NS-IBTS",1,1972,"41F5","4.b",5.5,56.25,"POLYGON ((5.00000000000006 55.9999999997003,5.00000000000006 56.4999999996003,5.9999999998002 56.4999999996003,5.9999999998002 55.9999999997003,5.00000000000006 55.9999999997003))",9,4,0,1,0.444444444444444
"NS-IBTS",1,1972,"42E7","4.b",-2.5,56.75,"POLYGON ((-3.0000000001998 56.4999999996003,-3.0000000001998 57.0000000003998,-2.00000000039967 57.0000000003998,-2.00000000039967 56.4999999996003,-3.0000000001998 56.4999999996003))",6,4,1,0,0.666666666666667
